date_key,date,year,month,iso_week,day_of_week
20240102,2024-01-02,2024,1,1,2
20240103,2024-01-03,2024,1,1,3
20240104,2024-01-04,2024,1,1,4
20240105,2024-01-05,2024,1,1,5
20240106,2024-01-06,2024,1,1,6
20240107,2024-01-07,2024,1,1,7
20240108,2024-01-08,2024,1,2,1
20240109,2024-01-09,2024,1,2,2
20240110,2024-01-10,2024,1,2,3
20240111,2024-01-11,2024,1,2,4
20240112,2024-01-12,2024,1,2,5
20240113,2024-01-13,2024,1,2,6
20240114,2024-01-14,2024,1,2,7
20240115,2024-01-15,2024,1,3,1
20240116,2024-01-16,2024,1,3,2
20240117,2024-01-17,2024,1,3,3
20240118,2024-01-18,2024,1,3,4
20240119,2024-01-19,2024,1,3,5
20240120,2024-01-20,2024,1,3,6
20240121,2024-01-21,2024,1,3,7
20240122,2024-01-22,2024,1,4,1
20240123,2024-01-23,2024,1,4,2
20240124,2024-01-24,2024,1,4,3
20240125,2024-01-25,2024,1,4,4
20240126,2024-01-26,2024,1,4,5
20240127,2024-01-27,2024,1,4,6
20240128,2024-01-28,2024,1,4,7
20240129,2024-01-29,2024,1,5,1
20240130,2024-01-30,2024,1,5,2
20240131,2024-01-31,2024,1,5,3
20240201,2024-02-01,2024,2,5,4
20240202,2024-02-02,2024,2,5,5
20240203,2024-02-03,2024,2,5,6
20240204,2024-02-04,2024,2,5,7
20240205,2024-02-05,2024,2,6,1
20240206,2024-02-06,2024,2,6,2
20240207,2024-02-07,2024,2,6,3
20240208,2024-02-08,2024,2,6,4
20240209,2024-02-09,2024,2,6,5
20240210,2024-02-10,2024,2,6,6
20240211,2024-02-11,2024,2,6,7
20240212,2024-02-12,2024,2,7,1
20240213,2024-02-13,2024,2,7,2
20240214,2024-02-14,2024,2,7,3
20240215,2024-02-15,2024,2,7,4
20240216,2024-02-16,2024,2,7,5
20240217,2024-02-17,2024,2,7,6
20240218,2024-02-18,2024,2,7,7
20240219,2024-02-19,2024,2,8,1
20240220,2024-02-20,2024,2,8,2
20240221,2024-02-21,2024,2,8,3
20240222,2024-02-22,2024,2,8,4
20240223,2024-02-23,2024,2,8,5
20240224,2024-02-24,2024,2,8,6
20240225,2024-02-25,2024,2,8,7
20240226,2024-02-26,2024,2,9,1
20240227,2024-02-27,2024,2,9,2
20240228,2024-02-28,2024,2,9,3
20240229,2024-02-29,2024,2,9,4
20240301,2024-03-01,2024,3,9,5
20240302,2024-03-02,2024,3,9,6
20240303,2024-03-03,2024,3,9,7
20240304,2024-03-04,2024,3,10,1
20240305,2024-03-05,2024,3,10,2
20240306,2024-03-06,2024,3,10,3
20240307,2024-03-07,2024,3,10,4
20240308,2024-03-08,2024,3,10,5
20240309,2024-03-09,2024,3,10,6
20240310,2024-03-10,2024,3,10,7
20240311,2024-03-11,2024,3,11,1
20240312,2024-03-12,2024,3,11,2
20240313,2024-03-13,2024,3,11,3
20240314,2024-03-14,2024,3,11,4
20240315,2024-03-15,2024,3,11,5
20240316,2024-03-16,2024,3,11,6
20240317,2024-03-17,2024,3,11,7
20240318,2024-03-18,2024,3,12,1
20240319,2024-03-19,2024,3,12,2
20240320,2024-03-20,2024,3,12,3
20240321,2024-03-21,2024,3,12,4
20240322,2024-03-22,2024,3,12,5
20240323,2024-03-23,2024,3,12,6
20240324,2024-03-24,2024,3,12,7
20240325,2024-03-25,2024,3,13,1
20240326,2024-03-26,2024,3,13,2
20240327,2024-03-27,2024,3,13,3
20240328,2024-03-28,2024,3,13,4
20240329,2024-03-29,2024,3,13,5
20240330,2024-03-30,2024,3,13,6
20240331,2024-03-31,2024,3,13,7
20240401,2024-04-01,2024,4,14,1
20240402,2024-04-02,2024,4,14,2
20240403,2024-04-03,2024,4,14,3
20240404,2024-04-04,2024,4,14,4
